Section,ShrubID,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Twigs,Moose,Hare,Ptarmagin,PropMoose,PropHare,PropPtarmagin,Bin_Moose,Bin_Hare,Bin_Ptarmagin,Binary_Browse,MooseFeces,HareFeces ,PtarmaginFeces,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
2,72-1-D-SAPU,72-1,SAPU,68,54,18,0,8,0,1,0,0,0.125,0,,Hare,,1,0,0,0,895.937772,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,130.808105,148,1.606934,-150.14017,66.022623
2,72-2-A-BENA,72-2,BENA,121,72,12,21,14,0,0,0,0,0,0,,,,0,0,0,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-A-SAGL,72-2,SAGL,129,121,17,0,12,0,0,0,0,0,0,,,,0,0,0,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-B-BENA,72-2,BENA,104,67,9,0,5,0,1,0,0,0.2,0,,Hare,,1,0,0,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-C-SAPU,72-2,SAPU,97,84,22,5,22,0,0,0,0,0,0,,,,0,0,0,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-2-D-SAPU,72-2,SAPU,79,60,21,0,11,0,0,0,0,0,0,,,,0,0,0,0,855.94066,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,131.055786,179,2.125059,-150.13956,66.022889
2,72-3-A-SAGL,72-3,SAGL,122,114,14,7,15,0,1,0,0,0.066666667,0,,Hare,,1,0,1,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-B-SAPU,72-3,SAPU,75,59,20,4,12,0,0,0,0,0,0,,,,0,0,1,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-C-BENA,72-3,BENA,65,39,9,0,4,0,0,0,0,0,0,,,,0,0,1,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-D-BENA,72-3,BENA,104,47,11,0,9,0,0,0,0,0,0,,,,0,0,1,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-3-D-SAGL,72-3,SAGL,128,109,19,9,10,0,2,0,0,0.2,0,,Hare,,1,0,1,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
2,72-4-A-BENA,72-4,BENA,97,39,7,0,8,0,0,0,0,0,0,,,,0,0,0,0,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-B-SAPU,72-4,SAPU,111,93,14,0,13,0,0,0,0,0,0,,,,0,0,0,0,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-D-BENA,72-4,BENA,85,37,8,0,12,0,0,0,0,0,0,,,,0,0,0,0,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
2,72-4-D-SAPU,72-4,SAPU,69,57,8,0,11,0,1,0,0,0.090909091,0,,Hare,,1,0,0,0,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
3,86-1-A-BENA,86-1,BENA,142,,20,0,87,1,0,0,0.011494253,0,0,Moose,,,1,1,0,0,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-A-SABE,86-1,SABE,129,,19,19,52,1,0,0,0.019230769,0,0,Moose,,,1,1,0,0,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-B-BENA,86-1,BENA,95,,11,0,56,0,0,0,0,0,0,,,,0,1,0,0,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-1-D-SABE,86-1,SABE,76,,8,0,10,2,0,0,0.2,0,0,Moose,,,1,1,0,0,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
3,86-2-A-BENA,86-2,BENA,118,,20,0,82,0,0,0,0,0,0,,,,0,0,0,0,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
3,86-2-B-BENA,86-2,BENA,94,,18,3,35,0,0,0,0,0,0,,,,0,0,0,0,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
