"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"PropPtarmagin"	"PropHare"	"PropMoose"	"df"	"logLik"	"AICc"	"delta"	"weight"
"45"	0.300693033409393	NA	NA	0.0851684720965001	-0.180420123311523	NA	NA	NA	NA	0.000749308972316447	7	-2970.54876638187	5955.13659798872	11.0564861999537	0.000427008007644902
"30"	0.296638075385469	-0.0167359201845605	NA	0.0856093135545186	-0.181472239403719	NA	NA	NA	0.108093115255467	NA	8	-2969.55678574578	5955.1638157344	11.0837039456319	0.000421236272450275
"46"	0.298095819105871	-0.0167281543259468	NA	0.0856397274143943	-0.181459544379759	NA	NA	NA	NA	0.0445440244407356	8	-2969.56093096054	5955.17210616393	11.0919943751587	0.000419493771649938
"93"	0.28528205891965	NA	NA	0.0862636380445481	-0.180477300918866	NA	NA	3.21472982397479	0.10922962842557	NA	8	-2969.69255080982	5955.43534586248	11.3552340737124	0.000367759366696581
"109"	0.286852636880256	NA	NA	0.0862966789745088	-0.180466016250893	NA	NA	3.21245907880603	NA	0.0254872318097494	8	-2969.69689281594	5955.44402987473	11.3639180859655	0.00036616601494811
"94"	0.282684373205964	-0.0167415791068077	NA	0.0867403055104009	-0.181520390996842	NA	NA	3.20762698611831	0.124150961496161	NA	9	-2968.70297475251	5955.46877673015	11.388664941378	0.000361663201302109
"110"	0.284285824321939	-0.0167335763109685	NA	0.0867713286911947	-0.181505413755074	NA	NA	3.20531115499193	NA	0.0692711681252592	9	-2968.70832032831	5955.47946788176	11.3993560929866	0.000359735061344481
"317"	0.301759620671844	NA	NA	0.0921142553677642	-0.198036989674927	NA	-0.027458107358157	NA	0.0843260781802587	-0.0298903642465598	9	-2969.16593735427	5956.39470193368	12.3145901449079	0.000227636667399268
"318"	0.298975578376482	-0.0161696365499591	NA	0.0923902606770261	-0.198618600526229	NA	-0.0267976516050002	NA	0.0986703530603517	0.0126687922780419	10	-2968.2431079077	5956.56303145785	12.4829196690807	0.000209261785791263
"381"	0.287626918472255	NA	NA	0.0932511598145343	-0.198132556545573	NA	-0.0275418469255598	3.22709308185058	0.0999010013241493	-0.00529777064435994	10	-2968.30379685627	5956.684409355	12.6042975662313	0.000196939600086384
"382"	0.284872448079511	-0.0161746563934784	NA	0.0935303883167791	-0.198713995819986	NA	-0.0268811024783684	3.22014349363982	0.114246368513657	0.0372372912968471	11	-2967.38030400006	5956.85281896763	12.7727071788604	0.000181035342903828
"61"	0.299276115346364	NA	NA	0.0851364685826562	-0.180429227895547	NA	NA	NA	0.0931835175234271	-0.00228664019432621	8	-2970.54559516801	5957.14143457886	13.0613227900949	0.000156708042346061
"62"	0.296454440257371	-0.016738162855226	NA	0.0856028357653525	-0.181470766493452	NA	NA	NA	0.107824944457371	0.0410616530188872	9	-2969.55666079324	5957.17614881161	13.096037022844	0.000154011512309237
"9"	0.309741978400941	NA	NA	NA	-0.172731119834643	NA	NA	NA	NA	NA	5	-2973.70063337454	5957.42217995927	13.3420681704984	0.000136184663018178
"125"	0.285183627024933	NA	NA	0.0862602064763483	-0.180476429666849	NA	NA	3.21487120325328	0.109084874482107	0.0219239151469059	9	-2969.69251513807	5957.44785750127	13.3677457125032	0.00013444739536974
"126"	0.282390725276855	-0.0167451719042486	NA	0.0867301436668676	-0.181518015311035	NA	NA	3.20804604305465	0.123723688986045	0.065265179201827	10	-2968.70265686645	5957.48212937536	13.4020175865953	0.000132163140585272
"10"	0.30743838897772	-0.0164204310085738	NA	NA	-0.173712801475138	NA	NA	NA	NA	NA	6	-2972.75021951305	5957.52972772902	13.4496159402543	0.000129054900122127
"73"	0.296786517546962	NA	NA	NA	-0.172697905283416	NA	NA	3.05810519772755	NA	NA	6	-2972.92832843548	5957.8859455739	13.805833785128	0.000107999756633956
"74"	0.294518925194125	-0.0164185791615281	NA	NA	-0.173679266174226	NA	NA	3.04993378569393	NA	NA	7	-2971.97802752971	5957.99512028439	13.9150084956182	0.00010226235495583
"11"	0.30727315329167	NA	0.0134024666034998	NA	-0.171512005166843	NA	NA	NA	NA	NA	6	-2973.26241524232	5958.55411918756	14.4740073987914	7.73269214209554e-05
"12"	0.304910075143039	-0.016551456211896	0.0136310655842262	NA	-0.172480403343883	NA	NA	NA	NA	NA	7	-2972.296810124	5958.63268547298	14.5525736842083	7.43481673907077e-05
"75"	0.294336007417722	NA	0.0134005152219443	NA	-0.171479305155032	NA	NA	3.05406336070308	NA	NA	7	-2972.49017063361	5959.0194064922	14.9392947034266	6.12766290278782e-05
"76"	0.2920097415969	-0.0165493544439251	0.0136286723497193	NA	-0.172447417491483	NA	NA	3.045733956837	NA	NA	8	-2971.52470703996	5959.09965832277	15.0195465340048	5.88665253746064e-05
"25"	0.307798854841559	NA	NA	NA	-0.172746104915123	NA	NA	NA	0.126251515016394	NA	6	-2973.69482774671	5959.41894419635	15.338832407585	5.01806584444837e-05
"41"	0.309389786853482	NA	NA	NA	-0.172728807963188	NA	NA	NA	NA	0.0768706732745952	6	-2973.70019851848	5959.42968573989	15.3495739511227	4.99118720221308e-05
"26"	0.305265379157171	-0.0164339587526612	NA	NA	-0.173730429930472	NA	NA	NA	0.141042348038114	NA	7	-2972.74293385324	5959.52493293145	15.4448211426843	4.75906015328937e-05
"42"	0.306886293062524	-0.0164271654055209	NA	NA	-0.17370957499246	NA	NA	NA	NA	0.120269192618588	7	-2972.74914925214	5959.53736372926	15.4572519404919	4.72957242993991e-05
"89"	0.294600268283227	NA	NA	NA	-0.172714261307821	NA	NA	3.06119008267448	0.141195419073908	NA	7	-2972.92101809763	5959.88110142023	15.8009896314597	3.98272380196136e-05
"105"	0.296324469841337	NA	NA	NA	-0.172694789698775	NA	NA	3.05876594527	NA	0.100236199304172	7	-2972.92758414546	5959.89423351589	15.8141217271241	3.95665871293128e-05
"90"	0.29210155487754	-0.0164336540726971	NA	NA	-0.173698315629087	NA	NA	3.05333697755055	0.155961971677452	NA	8	-2971.96905889294	5959.98836202873	15.9082502399624	3.77475565449937e-05
"106"	0.293855771755481	-0.0164266755578327	NA	NA	-0.173675270708768	NA	NA	3.05087573706517	NA	0.143589475489389	8	-2971.97649187089	5960.00322798462	15.9231161958496	3.74680199713749e-05
"27"	0.305147346189007	NA	0.0134208700981474	NA	-0.171526465460368	NA	NA	NA	0.137895179798654	NA	7	-2973.25546930661	5960.5500038382	16.4698920494284	2.85055795438587e-05
"43"	0.306884476150274	NA	0.013404011842238	NA	-0.171509334864633	NA	NA	NA	NA	0.084769456234927	7	-2973.26188494962	5960.56283512422	16.4827233354463	2.83232833207695e-05
"28"	0.302548489229143	-0.0165664268713245	0.0136518788648228	NA	-0.172497385704483	NA	NA	NA	0.153024174730121	NA	8	-2972.28820848429	5960.62666121144	16.5465494226673	2.7433671751589e-05
"44"	0.304318998721699	-0.0165587087571243	0.0136335440279581	NA	-0.17247675941062	NA	NA	NA	NA	0.128655757321543	8	-2972.29558187507	5960.64140799298	16.5612962042151	2.72321364816224e-05
"91"	0.291961398652736	NA	0.0134215421608107	NA	-0.171494855369868	NA	NA	3.05747373837456	0.153086289637592	NA	8	-2972.48155249315	5961.01334922915	16.9332374403793	2.2610788194197e-05
"107"	0.293836007938843	NA	0.0134025710077685	NA	-0.17147577359515	NA	NA	3.0547863883867	NA	0.108376326845444	8	-2972.48929811788	5961.02884047861	16.9487286898411	2.24363300299239e-05
"92"	0.289397979912696	-0.0165659410073986	0.0136522077240377	NA	-0.172465531493079	NA	NA	3.04947739871299	0.168194168924959	NA	9	-2971.51424563706	5961.09131849926	17.011206710491	2.17462757078722e-05
"108"	0.291306087928824	-0.0165579961486202	0.0136317185112992	NA	-0.172442942237216	NA	NA	3.04674478641632	NA	0.152219872220103	9	-2971.52297627597	5961.10877977707	17.0286679883011	2.15572432150891e-05
"57"	0.307472613674186	NA	NA	NA	-0.172743862694907	NA	NA	NA	0.12577507888556	0.0728059276755932	7	-2973.69443772162	5961.42794066821	17.3478288794413	1.83775796907032e-05
"58"	0.304745465885651	-0.0164403715724644	NA	NA	-0.173727237390196	NA	NA	NA	0.140291349643545	0.115776717721847	8	-2972.7419421801	5961.53412860305	17.4540168142821	1.74272915818861e-05
"121"	0.29416873781671	NA	NA	NA	-0.172711220315063	NA	NA	3.06180677505368	0.140571437432121	0.095710668095735	8	-2972.92033959671	5961.89092343627	17.8108116474987	1.45798442276244e-05
"122"	0.291475118985216	-0.0164413877371458	NA	NA	-0.173694358640916	NA	NA	3.05422599288873	0.15506610456041	0.138643754045487	9	-2971.96762737242	5961.99808196997	17.9179701812045	1.38192255123432e-05
"59"	0.304787127043	NA	0.0134222627281546	NA	-0.171523885102963	NA	NA	NA	0.137369343423684	0.0803294362004207	8	-2973.25499317736	5962.56023059756	18.4801188087922	1.04331314818185e-05
"60"	0.301992187879374	-0.0165733284703127	0.0136541518535946	NA	-0.172493799930611	NA	NA	NA	0.152221105955151	0.123781549977887	9	-2972.28707167015	5962.63697056544	18.5568587766702	1.00403952193036e-05
"123"	0.291494474329367	NA	0.0134234109345099	NA	-0.171491422956479	NA	NA	3.05814843690119	0.152412001266769	0.103472907571504	9	-2972.48075725294	5963.02434173101	18.944229942239	8.27245147666258e-06
