ShrubID,Section,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Moose,Hare,Ptarmagin,Total,PropMoose,PropHare,PropPtarmagin,BinaryBrowse,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
72-3-B-SAPU,2,72-3,SAPU,75,59,20,4,,,,12,,,,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
72-3-C-BENA,2,72-3,BENA,65,39,9,0,,,,4,,,,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
72-3-D-BENA,2,72-3,BENA,104,47,11,0,,,,9,,,,0,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
72-3-D-SAGL,2,72-3,SAGL,128,109,19,9,,2,,10,,0.2,,1,885.368743,West,20F,Tussock Tundra (Low shrub or Herbaceous),Black Spruce Woodland,Clay Loam,Mesic,0,132.401993,119,2.284806,-150.140609,66.023021
72-4-A-BENA,2,72-4,BENA,97,39,7,0,,,,8,,,,0,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
72-4-B-SAPU,2,72-4,SAPU,111,93,14,0,,,,13,,,,0,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
72-4-D-BENA,2,72-4,BENA,85,37,8,0,,,,12,,,,0,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
72-4-D-SAPU,2,72-4,SAPU,69,57,8,0,,1,,11,,0.090909091,,1,844.255779,West,20F,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Clay Loam,Mesic,0,132.260803,156,1.029158,-150.139994,66.023305
86-1-A-BENA,3,86-1,BENA,142,,20,0,1,,,87,0.011494253,,,1,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
86-1-A-SABE,3,86-1,SABE,129,,19,19,1,,,52,0.019230769,,,1,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
86-1-B-BENA,3,86-1,BENA,95,,11,0,,,,56,,,,0,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
86-1-D-SABE,3,86-1,SABE,76,,8,0,2,,,10,0.2,,,1,1072.088921,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,572.239319,57,8.372539,-150.2773,66.212913
86-2-A-BENA,3,86-2,BENA,118,,20,0,,,,82,,,,0,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
86-2-B-BENA,3,86-2,BENA,94,,18,3,,,,35,,,,0,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
86-2-C-SABE,3,86-2,SABE,47,,7,22,,,,18,,,,0,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
86-2-D-SABE,3,86-2,SABE,144,,31,15,,,,91,,,,0,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
86-3-A-BENA,3,86-3,BENA,105,,18,0,,,,64,,,,0,1057.338847,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,571.701965,63,9.459789,-150.277761,66.213303
86-3-C-SABE,3,86-3,SABE,122,,15,7,1,,,21,0.047619048,,,1,1057.338847,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,571.701965,63,9.459789,-150.277761,66.213303
86-3-D-BENA,3,86-3,BENA,167,,18,0,,,,12,,,,0,1057.338847,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,571.701965,63,9.459789,-150.277761,66.213303
86-3-D-SABE,3,86-3,SABE,120,,16,0,5,,,19,0.263157895,,,1,1057.338847,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,571.701965,63,9.459789,-150.277761,66.213303
86-4-A-SABE,3,86-4,SABE,104,,19,18,3,,,32,0.09375,,,1,1074.730943,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,575.689697,64,9.57597,-150.278532,66.213405
86-4-C-BENA,3,86-4,BENA,133,,26,0,,,,52,,,,0,1074.730943,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,575.689697,64,9.57597,-150.278532,66.213405
86-4-D-BENA,3,86-4,BENA,104,,11,0,,,,31,,,,0,1074.730943,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,575.689697,64,9.57597,-150.278532,66.213405
86-4-D-SABE,3,86-4,SABE,123,,12,21,3,,,19,0.157894737,,,1,1074.730943,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,575.689697,64,9.57597,-150.278532,66.213405
97-1-B-SAPU,4,97-1,SAPU,161,144,25,14,,,4,28,,,0.142857143,1,926.812684,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,556.594971,67,6.396444,-150.432109,66.348765
97-1-C-BENA,4,97-1,BENA,63,29,7,0,,,,3,,,,0,926.812684,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,556.594971,67,6.396444,-150.432109,66.348765
97-1-D-BENA,4,97-1,BENA,121,53,14,0,,,,19,,,,0,926.812684,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,556.594971,67,6.396444,-150.432109,66.348765
97-1-D-SAPU,4,97-1,SAPU,89,76,20,18,,,,25,,,,0,926.812684,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,556.594971,67,6.396444,-150.432109,66.348765
97-2-A-BENA,4,97-2,BENA,102,64,9,0,,,,13,,,,0,888.474156,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,560.389526,70,6.330689,-150.43305,66.348843
97-2-B-BENA,4,97-2,BENA,91,53,13,0,,,,26,,,,0,888.474156,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,560.389526,70,6.330689,-150.43305,66.348843
97-2-B-SAPU,4,97-2,SAPU,189,157,30,52,,,3,57,,,0.052631579,1,888.474156,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,560.389526,70,6.330689,-150.43305,66.348843
97-2-C-SAPU,4,97-2,SAPU,118,101,19,0,,,,29,,,,0,888.474156,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,560.389526,70,6.330689,-150.43305,66.348843
97-3-A-BENA,4,97-3,BENA,91,57,10,0,,,,11,,,,0,924.995234,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Gravely Sand Loam,Mesic,2004,557.015015,71,7.919354,-150.432427,66.349149
97-3-D-BENA,4,97-3,BENA,75,49,7,21,,,,13,,,,0,924.995234,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Gravely Sand Loam,Mesic,2004,557.015015,71,7.919354,-150.432427,66.349149
97-3-D-SAPU,4,97-3,SAPU,124,107,24,17,,,,31,,,,0,924.995234,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Gravely Sand Loam,Mesic,2004,557.015015,71,7.919354,-150.432427,66.349149
97-4-B-BENA,4,97-4,BENA,115,59,12,0,,,,13,,,,0,898.750829,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,558.840271,63,3.962788,-150.433152,66.349294
97-4-D-BENA,4,97-4,BENA,98,54,13,0,,,,12,,,,0,898.750829,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,558.840271,63,3.962788,-150.433152,66.349294
102-1-B-BENA,5,102-1,BENA,81,,11,0,,,2,18,,,0.111111111,1,978.645101,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,428.203827,339,4.033863,-150.565499,66.400721
102-1-C-BENA,5,102-1,BENA,109,,11,0,,,3,37,,,0.081081081,1,978.645101,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,428.203827,339,4.033863,-150.565499,66.400721
102-1-C-SAPU,5,102-1,SAPU,149,,21,0,1,,4,55,0.018181818,,0.072727273,1,978.645101,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,428.203827,339,4.033863,-150.565499,66.400721
102-1-D-SAPU,5,102-1,SAPU,67,,13,0,,,,26,,,,0,978.645101,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,428.203827,339,4.033863,-150.565499,66.400721
102-2-A-SAPU,5,102-2,SAPU,94,,13,0,1,,7,22,0.045454545,,0.318181818,1,973.266715,West,24A,Tall Shrub (Open-Closed),Low Shrub,Sandy Loam,Mesic,2004,426.001434,321,4.435797,-150.566012,66.400957
102-2-B-BENA,5,102-2,BENA,63,,11,0,,,,9,,,,0,973.266715,West,24A,Tall Shrub (Open-Closed),Low Shrub,Sandy Loam,Mesic,2004,426.001434,321,4.435797,-150.566012,66.400957
102-2-C-BENA,5,102-2,BENA,167,,16,0,,,,31,,,,0,973.266715,West,24A,Tall Shrub (Open-Closed),Low Shrub,Sandy Loam,Mesic,2004,426.001434,321,4.435797,-150.566012,66.400957
102-2-C-SAPU,5,102-2,SAPU,91,,21,0,,,5,42,,,0.119047619,1,973.266715,West,24A,Tall Shrub (Open-Closed),Low Shrub,Sandy Loam,Mesic,2004,426.001434,321,4.435797,-150.566012,66.400957
102-3-A-BENA,5,102-3,BENA,118,,7,10,,,,21,,,,0,939.238254,West,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic,2004,424.339783,330,3.896938,-150.565669,66.401242
102-3-A-SAPU,5,102-3,SAPU,138,,23,0,2,,5,32,0.0625,,0.15625,1,939.238254,West,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic,2004,424.339783,330,3.896938,-150.565669,66.401242
102-3-B-BENA,5,102-3,BENA,72,,16,0,,,,12,,,,0,939.238254,West,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic,2004,424.339783,330,3.896938,-150.565669,66.401242
102-3-D-SAPU,5,102-3,SAPU,97,,16,0,,,3,28,,,0.107142857,1,939.238254,West,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic,2004,424.339783,330,3.896938,-150.565669,66.401242
102-4-A-BENA,5,102-4,BENA,88,,11,0,,,,17,,,,0,934.189604,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,423.102509,349,3.666453,-150.566049,66.401434
102-4-A-SAPU,5,102-4,SAPU,98,,17,0,2,,3,26,0.076923077,,0.115384615,1,934.189604,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,423.102509,349,3.666453,-150.566049,66.401434
102-4-C-BENA,5,102-4,BENA,97,,15,5,,,,9,,,,0,934.189604,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,423.102509,349,3.666453,-150.566049,66.401434
102-4-C-SAPU,5,102-4,SAPU,122,,18,0,3,,3,37,0.081081081,,0.081081081,1,934.189604,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,423.102509,349,3.666453,-150.566049,66.401434
111-1-A-BENA,6,111-1,BENA,45,37,7,0,,,,7,,,,0,640.914524,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,512.854736,12,8.158982,-150.736683,66.498494
111-1-B-BENA,6,111-1,BENA,89,51,9,0,,,,12,,,,0,640.914524,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,512.854736,12,8.158982,-150.736683,66.498494
111-2-A-BENA,6,111-2,BENA,70,39,11,0,,,,13,,,,0,685.564701,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,516.430603,8,6.353059,-150.737535,66.498284
111-2-C-SAPU,6,111-2,SAPU,87,78,14,0,,,,21,,,,0,685.564701,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,516.430603,8,6.353059,-150.737535,66.498284
111-2-D-BENA,6,111-2,BENA,75,31,6,0,,,,7,,,,0,685.564701,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,516.430603,8,6.353059,-150.737535,66.498284
111-3-A-BENA,6,111-3,BENA,108,46,7,0,,,,11,,,,0,664.632709,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,511.257965,359,9.703425,-150.737553,66.498636
111-3-D-BENA,6,111-3,BENA,95,38,7,3,,,,16,,,,0,664.632709,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,511.257965,359,9.703425,-150.737553,66.498636
111-4-A-BENA,6,111-4,BENA,112,61,10,0,,,,19,,,,0,707.594422,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,515.006653,353,8.170983,-150.73833,66.498407
111-4-C-BENA,6,111-4,BENA,51,30,7,0,,,,13,,,,0,707.594422,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,515.006653,353,8.170983,-150.73833,66.498407
121-1-C-BENA,7,121-1,BENA,60,36,11,0,,,,11,,,,0,1394.51987,East,24A,Tall Shrub (Open-Closed),Low Shrub,Clay Loam,Mesic,2005,466.470276,61,7.209129,-150.675843,66.599029
121-1-D-BENA,7,121-1,BENA,73,42,19,0,,,,25,,,,0,1394.51987,East,24A,Tall Shrub (Open-Closed),Low Shrub,Clay Loam,Mesic,2005,466.470276,61,7.209129,-150.675843,66.599029
121-2-A-BENA,7,121-2,BENA,78,45,15,0,,,,25,,,,0,1360.369622,East,24A,Low Shrub,Low Shrub,Clay Loam,Mesic,2005,467.582397,57,7.419251,-150.676297,66.599294
121-2-B-BENA,7,121-2,BENA,101,47,16,0,,,,31,,,,0,1360.369622,East,24A,Low Shrub,Low Shrub,Clay Loam,Mesic,2005,467.582397,57,7.419251,-150.676297,66.599294
121-3-C-BENA,7,121-3,BENA,83,36,13,0,,,,12,,,,0,1376.839212,East,24A,Low Shrub,Low Shrub,Clay Loam,Mesic,2005,462.586914,66,7.264894,-150.675497,66.599464
121-3-D-BENA,7,121-3,BENA,88,37,15,0,,,,15,,,,0,1376.839212,East,24A,Low Shrub,Low Shrub,Clay Loam,Mesic,2005,462.586914,66,7.264894,-150.675497,66.599464
121-4-A-BENA,7,121-4,BENA,61,33,21,0,,,,34,,,,0,1343.63337,East,24A,Tall Shrub (Open-Closed),Low Shrub,Clay Loam,Mesic,2005,462.975769,50,6.55981,-150.675949,66.599719
121-4-B-BENA,7,121-4,BENA,58,29,8,0,,,,9,,,,0,1343.63337,East,24A,Tall Shrub (Open-Closed),Low Shrub,Clay Loam,Mesic,2005,462.975769,50,6.55981,-150.675949,66.599719
129-1-A-BENA,8,129-1,BENA,104,71,16,0,,,,11,,,,0,982.902287,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic - Hydric,2005,301.875214,348,5.919549,-150.647865,66.709988
129-1-B-BENA,8,129-1,BENA,131,89,21,0,,,,13,,,,0,982.902287,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic - Hydric,2005,301.875214,348,5.919549,-150.647865,66.709988
129-2-B-BENA,8,129-2,BENA,85,42,10,0,,,,15,,,,0,1017.146639,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic - Hydric,2005,305.151764,352,5.708165,-150.647276,66.70977
129-2-C-BENA,8,129-2,BENA,109,67,13,0,,,,10,,,,0,1017.146639,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic - Hydric,2005,305.151764,352,5.708165,-150.647276,66.70977
129-2-C-SAPU,8,129-2,SAPU,111,102,17,16,,,,33,,,,0,1017.146639,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic - Hydric,2005,305.151764,352,5.708165,-150.647276,66.70977
129-3-A-BENA,8,129-3,BENA,51,35,12,0,,,,6,,,,0,1022.673056,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Sandy Loam,Mesic - Hydric,2005,301.546051,352,6.265718,-150.646771,66.710061
129-3-B-BENA,8,129-3,BENA,105,47,16,0,,,,13,,,,0,1022.673056,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub-Tussock Tundra,Sandy Loam,Mesic - Hydric,2005,301.546051,352,6.265718,-150.646771,66.710061
129-4-A-SAPU,8,129-4,SAPU,127,105,25,18,,,,36,,,,0,1057.255538,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Sandy Loam,Mesic - Hydric,2005,303.823029,358,6.979915,-150.646167,66.709845
129-4-B-SAPU,8,129-4,SAPU,194,177,37,34,,,,72,,,,0,1057.255538,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Sandy Loam,Mesic - Hydric,2005,303.823029,358,6.979915,-150.646167,66.709845
129-4-C-BENA,8,129-4,BENA,93,53,15,0,,,,11,,,,0,1057.255538,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Sandy Loam,Mesic - Hydric,2005,303.823029,358,6.979915,-150.646167,66.709845
