Shrub ID,Pith
97-2-B-SAPU,0.214
97-2-B-SAPU,0.179
97-2-B-SAPU,
97-2-B-SAPU,0.171
97-2-C-SAPU,0.53
97-2-C-SAPU,0.69
97-2-C-SAPU,0.536
97-2-C-SAPU,0.629
97-3-A-BENA,0.125
97-3-A-BENA,0.108
97-3-A-BENA,0.092
97-3-A-BENA,0.129
97-3-D-BENA,0.092
97-3-D-BENA,0.125
97-3-D-BENA,0.082
97-3-D-BENA,0.17
97-3-D-SAPU,0.308
97-3-D-SAPU,0.376
97-3-D-SAPU,0.325
97-3-D-SAPU,0.3
97-4-B-BENA,0.149
97-4-B-BENA,0.18
97-4-B-BENA,0.144
97-4-B-BENA,0.158
97-4-D-BENA,0.145
97-4-D-BENA,0.156
97-4-D-BENA,0.15
97-4-D-BENA,0.161
102-1-B-BENA,0.16
102-1-B-BENA,0.152
102-1-B-BENA,0.156
102-1-B-BENA,0.194
102-1-C-BENA,0.132
102-1-C-BENA,0.162
102-1-C-BENA,0.162
102-1-C-BENA,0.144
102-1-C-SAPU,0.56
102-1-C-SAPU,0.672
102-1-C-SAPU,0.589
102-1-C-SAPU,0.525
102-1-D-SAPU,0.237
102-1-D-SAPU,0.27
102-1-D-SAPU,0.22
102-1-D-SAPU,0.231
102-2-A-SAPU,0.797
102-2-A-SAPU,0.835
102-2-A-SAPU,0.755
102-2-A-SAPU,0.776
102-2-B-BENA,0.191
102-2-B-BENA,
102-2-B-BENA,
102-2-B-BENA,0.169
102-2-C-BENA,0.415
102-2-C-BENA,0.432
102-2-C-BENA,0.485
102-2-C-BENA,0.426
102-2-C-SAPU,0.309
102-2-C-SAPU,0.384
102-2-C-SAPU,0.324
102-2-C-SAPU,0.286
102-3-A-BENA,0.147
102-3-A-BENA,0.24
102-3-A-BENA,0.197
102-3-A-BENA,0.125
102-3-A-SAPU,0.349
102-3-A-SAPU,0.342
102-3-A-SAPU,0.299
102-3-A-SAPU,0.328
102-3-B-BENA,0.16
102-3-B-BENA,0.13
102-3-B-BENA,0.255
102-3-B-BENA,0.046
102-3-D-SAPU,0.266
102-3-D-SAPU,0.346
