ShrubID,Radius
86-1-B-BENA,5.101
86-1-D-SABE,6.225
86-1-D-SABE,
86-1-D-SABE,6.645
86-1-D-SABE,8.951
86-2-A-BENA,9.202
86-2-A-BENA,9.962
86-2-A-BENA,
86-2-A-BENA,8.429
86-2-B-BENA,7.208
86-2-B-BENA,6.852
86-2-B-BENA,7.867
86-2-B-BENA,6.092
86-2-C-SABE,3.536
86-2-C-SABE,3.729
86-2-C-SABE,3.669
86-2-C-SABE,3.564
86-2-D-SABE,11.046
86-2-D-SABE,11.556
86-2-D-SABE,
86-2-D-SABE,
86-3-A-BENA,7.776
86-3-A-BENA,7.455
86-3-A-BENA,6.968
86-3-A-BENA,7.484
86-3-C-SABE,5.414
86-3-C-SABE,6.252
86-3-C-SABE,4.802
86-3-C-SABE,5.069
86-3-D-BENA,7.001
86-3-D-BENA,7.058
86-3-D-BENA,7.677
86-3-D-BENA,6.42
86-3-D-SABE,7.189
86-3-D-SABE,6.155
86-3-D-SABE,5.125
86-3-D-SABE,5.538
86-4-A-SABE,
86-4-A-SABE,7.112
86-4-A-SABE,9.208
86-4-A-SABE,6.598
86-4-C-BENA,13.474
86-4-C-BENA,9.417
86-4-C-BENA,5.324
86-4-C-BENA,11.399
86-4-D-BENA,5.273
86-4-D-BENA,5.975
86-4-D-BENA,
86-4-D-BENA,5.813
86-4-D-SABE,4.883
86-4-D-SABE,4.001
86-4-D-SABE,4.296
86-4-D-SABE,4.671
97-1-B-SAPU,11.281
97-1-B-SAPU,10.132
97-1-B-SAPU,
97-1-B-SAPU,11.083
97-1-C-BENA,2.68
97-1-C-BENA,2.293
97-1-C-BENA,2.671
97-1-C-BENA,2.578
97-1-D-BENA,5.868
97-1-D-BENA,4.97
97-1-D-BENA,6.067
97-1-D-BENA,6.417
97-1-D-SAPU,11.421
97-1-D-SAPU,7.465
97-1-D-SAPU,5.717
97-1-D-SAPU,5.461
97-2-A-BENA,4.549
97-2-A-BENA,4.473
97-2-A-BENA,4.134
97-2-A-BENA,4.358
97-2-B-BENA,5.761
97-2-B-BENA,5.278
97-2-B-BENA,5.182
97-2-B-BENA,4.942
97-2-B-SAPU,11.659
97-2-B-SAPU,12.56
97-2-B-SAPU,
97-2-B-SAPU,11.798
97-2-C-SAPU,6.951
97-2-C-SAPU,7.147
97-2-C-SAPU,7.812
97-2-C-SAPU,9.651
97-3-A-BENA,3.515
97-3-A-BENA,3.325
97-3-A-BENA,3.765
97-3-A-BENA,3.416
97-3-D-BENA,3.165
97-3-D-BENA,2.779
97-3-D-BENA,3.138
97-3-D-BENA,2.792
97-3-D-SAPU,8.888
97-3-D-SAPU,10.216
