ShrubID,Radii,Radius 
86-4-D-SABE,1,4.883
86-4-D-SABE,2,4.001
86-4-D-SABE,3,4.296
86-4-D-SABE,4,4.671
97-1-B-SAPU,1,11.281
97-1-B-SAPU,2,10.132
97-1-B-SAPU,3,
97-1-B-SAPU,4,11.083
97-1-C-BENA,1,2.68
97-1-C-BENA,2,2.293
97-1-C-BENA,3,2.671
97-1-C-BENA,4,2.578
97-1-D-BENA,1,5.868
97-1-D-BENA,2,4.97
97-1-D-BENA,3,6.067
97-1-D-BENA,4,6.417
97-1-D-SAPU,1,11.421
97-1-D-SAPU,2,7.465
97-1-D-SAPU,3,5.717
97-1-D-SAPU,4,5.461
97-2-A-BENA,1,4.549
97-2-A-BENA,2,4.473
97-2-A-BENA,3,4.134
97-2-A-BENA,4,4.358
97-2-B-BENA,1,5.761
97-2-B-BENA,2,5.278
97-2-B-BENA,3,5.182
97-2-B-BENA,4,4.942
97-2-B-SAPU,1,11.659
97-2-B-SAPU,2,12.56
97-2-B-SAPU,3,
97-2-B-SAPU,4,11.798
97-2-C-SAPU,1,6.951
97-2-C-SAPU,2,7.147
97-2-C-SAPU,3,7.812
97-2-C-SAPU,4,9.651
97-3-A-BENA,1,3.515
97-3-A-BENA,2,3.325
97-3-A-BENA,3,3.765
97-3-A-BENA,4,3.416
97-3-D-BENA,1,3.165
97-3-D-BENA,2,2.779
97-3-D-BENA,3,3.138
97-3-D-BENA,4,2.792
97-3-D-SAPU,1,8.888
97-3-D-SAPU,2,10.216
97-3-D-SAPU,3,11.084
97-3-D-SAPU,4,9.469
97-4-B-BENA,1,4.232
97-4-B-BENA,2,4.223
97-4-B-BENA,3,4.066
97-4-B-BENA,4,4.789
97-4-D-BENA,1,4.188
97-4-D-BENA,2,4.649
97-4-D-BENA,3,5.693
97-4-D-BENA,4,4.711
102-1-B-BENA,1,2.797
102-1-B-BENA,2,2.89
102-1-B-BENA,3,4.09
102-1-B-BENA,4,5.486
102-1-C-BENA,1,5.17
102-1-C-BENA,2,4.696
102-1-C-BENA,3,4.852
102-1-C-BENA,4,4.627
102-1-C-SAPU,1,8.624
102-1-C-SAPU,2,9.446
102-1-C-SAPU,3,9.605
102-1-C-SAPU,4,8.374
102-1-D-SAPU,1,7.173
102-1-D-SAPU,2,5.485
102-1-D-SAPU,3,6.868
102-1-D-SAPU,4,13.984
102-2-A-SAPU,1,4.172
102-2-A-SAPU,2,4.715
102-2-A-SAPU,3,5.098
102-2-A-SAPU,4,3.988
102-2-B-BENA,1,3.917
102-2-B-BENA,2,
102-2-B-BENA,3,
102-2-B-BENA,4,5.899
102-2-C-BENA,1,6.949
102-2-C-BENA,2,6.632
102-2-C-BENA,3,6.259
102-2-C-BENA,4,8.58
102-2-C-SAPU,1,5.712
102-2-C-SAPU,2,8.482
102-2-C-SAPU,3,6.972
102-2-C-SAPU,4,5.374
102-3-A-BENA,1,2.967
102-3-A-BENA,2,3.748
102-3-A-BENA,3,3.76
102-3-A-BENA,4,3.477
102-3-A-SAPU,1,8.981
102-3-A-SAPU,2,10.249
102-3-A-SAPU,3,9.352
102-3-A-SAPU,4,9.259
102-3-B-BENA,1,7.238
102-3-B-BENA,2,8.13
102-3-B-BENA,3,5.237
102-3-B-BENA,4,6.075
102-3-D-SAPU,1,5.497
102-3-D-SAPU,2,6.694
102-3-D-SAPU,3,6.02
102-3-D-SAPU,4,7.277
102-4-A-BENA,1,5.118
102-4-A-BENA,2,5.595
102-4-A-BENA,3,5.472
102-4-A-BENA,4,4.906
102-4-A-SAPU,1,5.267
102-4-A-SAPU,2,7.036
102-4-A-SAPU,3,6.081
102-4-A-SAPU,4,5.565
102-4-C-BENA,1,5.94
102-4-C-BENA,2,6.679
102-4-C-BENA,3,4.981
102-4-C-BENA,4,
102-4-C-SAPU,1,7.067
102-4-C-SAPU,2,6.446
102-4-C-SAPU,3,7.044
102-4-C-SAPU,4,8.174
111-1-A-BENA,1,4.466
111-1-A-BENA,2,5.544
111-1-A-BENA,3,6.288
111-1-A-BENA,4,5.513
111-1-B-BENA,1,3.711
111-1-B-BENA,2,4.278
111-1-B-BENA,3,4.105
111-1-B-BENA,4,3.902
111-2-A-BENA,1,4.364
111-2-A-BENA,2,5.141
111-2-A-BENA,3,4.641
111-2-A-BENA,4,4.111
111-2-C-SAPU,1,4.627
111-2-C-SAPU,2,7.408
111-2-C-SAPU,3,5.51
111-2-C-SAPU,4,3.446
111-2-D-BENA,1,5.903
111-2-D-BENA,2,4.552
111-2-D-BENA,3,4.42
111-2-D-BENA,4,5.134
111-3-A-BENA,1,2.941
111-3-A-BENA,2,3.126
111-3-A-BENA,3,3.339
111-3-A-BENA,4,3.147
111-3-D-BENA,1,6.837
111-3-D-BENA,2,6.107
111-3-D-BENA,3,5.781
111-3-D-BENA,4,5.93
111-4-A-BENA,1,4.941
111-4-A-BENA,2,3.341
111-4-A-BENA,3,5.961
111-4-A-BENA,4,4.036
111-4-C-BENA,1,3.052
111-4-C-BENA,2,
111-4-C-BENA,3,2.612
111-4-C-BENA,4,3.061
121-1-C-BENA,1,3.489
121-1-C-BENA,2,4.743
121-1-C-BENA,3,3.882
121-1-C-BENA,4,4.05
121-1-D-BENA,1,5.34
121-1-D-BENA,2,7.496
121-1-D-BENA,3,7.966
121-1-D-BENA,4,3.979
121-2-A-BENA,1,5.992
121-2-A-BENA,2,5.538
121-2-A-BENA,3,
121-2-A-BENA,4,6.14
121-2-B-BENA,1,5.37
121-2-B-BENA,2,4.907
121-2-B-BENA,3,5.552
121-2-B-BENA,4,5.909
121-3-C-BENA,1,4.579
121-3-C-BENA,2,3.532
121-3-C-BENA,3,4.669
121-3-C-BENA,4,5.287
121-3-D-BENA,1,5.198
121-3-D-BENA,2,7.143
121-3-D-BENA,3,5.836
121-3-D-BENA,4,5.444
121-4-A-BENA,1,6.483
121-4-A-BENA,2,7.517
121-4-A-BENA,3,6.532
121-4-A-BENA,4,14.134
121-4-B-BENA,1,3.166
121-4-B-BENA,2,3.283
121-4-B-BENA,3,3.017
121-4-B-BENA,4,3.286
129-1-A-BENA,1,6.165
129-1-A-BENA,2,7.839
129-1-A-BENA,3,7.193
129-1-A-BENA,4,5.268
129-1-B-BENA,1,9.018
129-1-B-BENA,2,9.276
129-1-B-BENA,3,5.794
129-1-B-BENA,4,7.654
129-2-B-BENA,1,4.36
129-2-B-BENA,2,4.867
129-2-B-BENA,3,5.509
129-2-B-BENA,4,4.546
129-2-C-BENA,1,5.78
129-2-C-BENA,2,5.007
129-2-C-BENA,3,4.614
129-2-C-BENA,4,5.237
129-2-C-SAPU,1,6.763
129-2-C-SAPU,2,5.364
129-2-C-SAPU,3,6.098
129-2-C-SAPU,4,10.036
129-3-A-BENA,1,3.546
129-3-A-BENA,2,4.544
129-3-A-BENA,3,6.456
129-3-A-BENA,4,4.592
129-3-B-BENA,1,6.149
129-3-B-BENA,2,5.467
129-3-B-BENA,3,5.964
129-3-B-BENA,4,5.102
129-4-A-SAPU,1,7.975
129-4-A-SAPU,2,10.635
129-4-A-SAPU,3,12.416
129-4-A-SAPU,4,9.435
129-4-B-SAPU,1,
129-4-B-SAPU,2,16.442
129-4-B-SAPU,3,
129-4-B-SAPU,4,9.719
129-4-C-BENA,1,4.613
129-4-C-BENA,2,4.508
129-4-C-BENA,3,6.596
129-4-C-BENA,4,6.307
129-4-D-BENA,1,5.14
129-4-D-BENA,2,6.505
129-4-D-BENA,3,8.015
129-4-D-BENA,4,8.127
147-1-A-BENA,1,3.843
147-1-A-BENA,2,3.855
147-1-A-BENA,3,4.038
147-1-A-BENA,4,3.997
147-1-A-SAPU,1,9.939
147-1-A-SAPU,2,10.404
147-1-A-SAPU,3,
147-1-A-SAPU,4,11.269
147-1-B-BENA,1,3.269
147-1-B-BENA,2,2.498
147-1-B-BENA,3,2.611
147-1-B-BENA,4,2.745
147-1-D-SAPU,1,5.016
147-1-D-SAPU,2,5.255
147-1-D-SAPU,3,5.504
147-1-D-SAPU,4,4.896
147-2-A-BENA,1,2.491
147-2-A-BENA,2,2.215
147-2-A-BENA,3,2.349
147-2-A-BENA,4,2.416
147-2-B-SAPU,1,4.961
147-2-B-SAPU,2,4.82
147-2-B-SAPU,3,5.319
147-2-B-SAPU,4,4.738
147-2-C-SAPU,1,6.949
147-2-C-SAPU,2,6.521
147-2-C-SAPU,3,6.247
147-2-C-SAPU,4,7.151
147-2-D-BENA,1,2.358
147-2-D-BENA,2,2.368
147-2-D-BENA,3,2.239
147-2-D-BENA,4,2.151
147-3-A-BENA,1,2.519
147-3-A-BENA,2,2.462
147-3-A-BENA,3,3.543
147-3-A-BENA,4,3.806
147-3-B-SAPU,1,7.883
147-3-B-SAPU,2,8.606
147-3-B-SAPU,3,8.179
147-3-B-SAPU,4,8.133
147-3-C-BENA,1,4.497
147-3-C-BENA,2,4.558
147-3-C-BENA,3,4.157
147-3-C-BENA,4,4.107
147-3-C-SAPU,1,5.129
147-3-C-SAPU,2,4.877
147-3-C-SAPU,3,4.657
147-3-C-SAPU,4,5.644
147-4-A-BENA,1,3.37
147-4-A-BENA,2,3.059
147-4-A-BENA,3,3.364
147-4-A-BENA,4,2.771
147-4-A-SAPU,1,7.354
147-4-A-SAPU,2,7.862
147-4-A-SAPU,3,8.088
147-4-A-SAPU,4,7.588
147-4-C-SAPU,1,2.342
147-4-C-SAPU,2,2.373
147-4-C-SAPU,3,2.723
147-4-C-SAPU,4,2.728
147-4-D-BENA,1,2.342
147-4-D-BENA,2,2.373
147-4-D-BENA,3,2.723
147-4-D-BENA,4,2.728
151-1-C-BENA,1,4.265
151-1-C-BENA,2,4.831
151-1-C-BENA,3,5.549
151-1-C-BENA,4,4.012
151-1-D-BENA,1,5.711
151-1-D-BENA,2,4.211
151-1-D-BENA,3,4.331
151-1-D-BENA,4,4.605
151-2-A-BENA,1,5.696
151-2-A-BENA,2,5.119
151-2-A-BENA,3,3.955
151-2-A-BENA,4,3.947
151-2-B-BENA,1,6.377
151-2-B-BENA,2,6.218
151-2-B-BENA,3,5.893
151-2-B-BENA,4,5.231
151-3-A-BENA,1,3.746
151-3-A-BENA,2,3.351
151-3-A-BENA,3,4.153
151-3-A-BENA,4,4.054
151-3-C-BENA,1,4.811
151-3-C-BENA,2,4.979
151-3-C-BENA,3,5.649
151-3-C-BENA,4,5.549
151-4-A-BENA,1,3.864
151-4-A-BENA,2,3.012
151-4-A-BENA,3,3.663
151-4-A-BENA,4,3.291
151-4-B-SAPU,1,4.218
151-4-B-SAPU,2,4.309
151-4-B-SAPU,3,4.966
151-4-B-SAPU,4,4.357
151-4-D-BENA,1,4.008
151-4-D-BENA,2,3.512
151-4-D-BENA,3,3.818
151-4-D-BENA,4,3.528
158-1-A-SAPU,1,13.69
158-1-A-SAPU,2,12.03
158-1-A-SAPU,3,
158-1-A-SAPU,4,
158-1-B-BENA,1,3.943
158-1-B-BENA,2,4.356
158-1-B-BENA,3,4.9
158-1-B-BENA,4,4.231
158-1-C-SAPU,1,7.999
158-1-C-SAPU,2,7.703
158-1-C-SAPU,3,9.395
158-1-C-SAPU,4,11.279
158-1-D-BENA,1,
158-1-D-BENA,2,6.866
158-1-D-BENA,3,4.805
158-1-D-BENA,4,4.755
158-1-D-SAGL,1,6.297
158-1-D-SAGL,2,6.776
158-1-D-SAGL,3,7.366
158-1-D-SAGL,4,7.529
158-2-B-BENA,1,6.809
158-2-B-BENA,2,
158-2-B-BENA,3,8.014
158-2-B-BENA,4,7.247
158-2-C-BENA,1,2.541
158-2-C-BENA,2,4.294
158-2-C-BENA,3,2.748
158-2-C-BENA,4,2.421
158-2-C-SAPU,1,12.594
158-2-C-SAPU,2,10.381
158-2-C-SAPU,3,4.849
158-2-C-SAPU,4,7.783
158-2-D-SAPU,1,4.883
158-2-D-SAPU,2,4.986
158-2-D-SAPU,3,5.359
158-2-D-SAPU,4,4.978
158-3-A-BENA,1,5.699
158-3-A-BENA,2,5.431
158-3-A-BENA,3,6.44
158-3-A-BENA,4,6.252
158-3-A-SAPU,1,6.58
158-3-A-SAPU,2,11.502
158-3-A-SAPU,3,7.139
158-3-A-SAPU,4,6.294
158-3-B-SAPU,1,8.558
158-3-B-SAPU,2,7.283
158-3-B-SAPU,3,6.654
158-3-B-SAPU,4,
158-3-D-BENA,1,4.966
158-3-D-BENA,2,5.15
158-3-D-BENA,3,5.308
158-3-D-BENA,4,4.842
158-4-A-BENA,1,6.97
158-4-A-BENA,2,5.624
158-4-A-BENA,3,7.366
158-4-A-BENA,4,7.624
158-4-C-BENA,1,5.738
158-4-C-BENA,2,5.047
158-4-C-BENA,3,5.41
158-4-C-BENA,4,
158-4-C-SAPU,1,11.87
158-4-C-SAPU,2,10.018
158-4-C-SAPU,3,10.52
158-4-C-SAPU,4,
173-1-A-BENA,1,3.843
173-1-A-BENA,2,4.631
173-1-A-BENA,3,4.821
173-1-A-BENA,4,3.389
173-1-A-SAPU,1,5.883
173-1-A-SAPU,2,6.371
173-1-A-SAPU,3,6.148
173-1-A-SAPU,4,5.925
173-1-B-BENA,1,4.052
173-1-B-BENA,2,4.546
173-1-B-BENA,3,4.226
173-1-B-BENA,4,4.074
173-1-B-SAPU,1,6.93
173-1-B-SAPU,2,6.478
173-1-B-SAPU,3,5.406
173-1-B-SAPU,4,5.768
173-2-A-BENA,1,5.134
173-2-A-BENA,2,5.755
173-2-A-BENA,3,3.775
173-2-A-BENA,4,4.693
173-2-C-BENA,1,5.714
173-2-C-BENA,2,5.002
173-2-C-BENA,3,4.471
173-2-C-BENA,4,5.744
173-2-C-SAPU,1,7.191
173-2-C-SAPU,2,6.15
173-2-C-SAPU,3,4.958
173-2-C-SAPU,4,6.12
173-2-D-SAPU,1,3.768
173-2-D-SAPU,2,4.369
173-2-D-SAPU,3,5.622
173-2-D-SAPU,4,4.331
173-3-A-SAPU,1,3.17
173-3-A-SAPU,2,3.178
173-3-A-SAPU,3,2.98
173-3-A-SAPU,4,2.889
173-3-B-BENA,1,4.241
173-3-B-BENA,2,4.427
173-3-B-BENA,3,6.086
