"","ShrubID","Year","RingWidth","RWI_Spline","RWI_NegExp","BAI","Age","Estab","Section","SiteID","Species","StemLength","StemHeight","StemDiam","CanopyCover","Twigs","Moose","Hare","Ptarmagin","PropMoose","PropHare","PropPtarmagin","PropMoose_S","PropHare_S","PropPtarmagin_S","PropBrowse_S","Bin_Moose","Bin_Hare","Bin_Ptarmagin","Binary_Browse","MooseFeces","HareFeces","PtarmaginFeces","MooseFeces_S","HareFeces _S","PtarmaginFeces_S","DistToRoad","RoadSide","GMU","VegCoverGIS","VegCoverOBS","SoilText","SoilMoist","LastBurn","Elevation","Aspect","Slope","X_Cord","Y_Cord","resid","resid_ll"
"14","111-3-D-BENA",2018,0.2775,1.32741600035205,1.02145815033254,10.0988380805236,21,1997,6,"111-3","BENA",95,38,7,3,16,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,664.632709,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Gravely Sand Loam","Mesic",0,511.257965,359,9.703425,-150.737553,66.498636,1.84961965395654,1.8686129443359
"15","111-4-A-BENA",2018,0.28275,1.27157969758969,1.30630434684783,7.48535834392609,20,1998,6,"111-4","BENA",112,61,10,0,19,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,707.594422,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Gravely Sand Loam","Mesic",0,515.006653,353,8.170983,-150.73833,66.498407,1.5470476711752,1.56413881144152
"16","111-4-C-BENA",2018,0.0663333333333333,1.06235542876892,0.643704293331382,1.16970599025531,26,1992,6,"111-4","BENA",51,30,7,0,13,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,707.594422,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Gravely Sand Loam","Mesic",0,515.006653,353,8.170983,-150.73833,66.498407,-0.290545801140338,-0.265156405721192
"17","121-1-C-BENA",2018,0.1105,0.749471221627438,0.766343484816649,2.72179812065202,46,1972,7,"121-1","BENA",60,36,11,0,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1394.51987,"East","24A","Tall Shrub (Open-Closed)","Low Shrub","Clay Loam","Mesic",2005,466.470276,61,7.209129,-150.675843,66.599029,0.616004482670267,0.637884128209888
"18","121-1-D-BENA",2018,0.19525,1.50687429034152,0.938985176523838,7.36213172828352,34,1984,7,"121-1","BENA",73,42,19,0,25,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1394.51987,"East","24A","Tall Shrub (Open-Closed)","Low Shrub","Clay Loam","Mesic",2005,466.470276,61,7.209129,-150.675843,66.599029,1.5738552898069,1.60194686476643
"19","121-2-A-BENA",2018,0.139666666666667,1.18412008476657,0.352260242058772,4.99370720398473,12,2006,7,"121-2","BENA",78,45,15,0,25,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1360.369622,"East","24A","Low Shrub","Low Shrub","Clay Loam","Mesic",2005,467.582397,57,7.419251,-150.676297,66.599294,1.11747335009085,1.10699150500914
"20","121-2-B-BENA",2018,0.1185,0.924233513122206,0.270560814346192,3.90408703574624,11,2007,7,"121-2","BENA",101,47,16,0,31,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1360.369622,"East","24A","Low Shrub","Low Shrub","Clay Loam","Mesic",2005,467.582397,57,7.419251,-150.676297,66.599294,0.868218253055414,0.85191528545898
"21","121-3-C-BENA",2018,0.51825,1.2317962371188,1.3299311792838,12.7275023125132,10,2008,7,"121-3","BENA",83,36,13,0,12,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1376.839212,"East","24A","Low Shrub","Low Shrub","Clay Loam","Mesic",2005,462.586914,66,7.264894,-150.675497,66.599464,2.04685898049938,2.02388398125169
"22","121-3-D-BENA",2018,0.12525,1.21808770347872,0.333067411248504,4.50943051033988,14,2004,7,"121-3","BENA",88,37,15,0,15,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1376.839212,"East","24A","Low Shrub","Low Shrub","Clay Loam","Mesic",2005,462.586914,66,7.264894,-150.675497,66.599464,1.02166665989993,1.02078949734195
"23","121-4-A-BENA",2018,0.60425,1.42204744071824,1.01208350780642,30.6894605273415,13,2005,7,"121-4","BENA",61,33,21,0,34,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1343.63337,"East","24A","Tall Shrub (Open-Closed)","Low Shrub","Clay Loam","Mesic",2005,462.975769,50,6.55981,-150.675949,66.599719,2.93631457861252,2.93093933076727
"24","121-4-B-BENA",2018,0.311,1.53573992397348,1.22682445759369,5.6628966872842,11,2007,7,"121-4","BENA",58,29,8,0,9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1343.63337,"East","24A","Tall Shrub (Open-Closed)","Low Shrub","Clay Loam","Mesic",2005,462.975769,50,6.55981,-150.675949,66.599719,1.24012983426563,1.2238268666692
"25","129-1-A-BENA",2018,0.26975,0.881704269813886,0.58573090345095,10.3292905913754,13,2005,8,"129-1","BENA",104,71,16,0,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,982.902287,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic - Hydric",2005,301.875214,348,5.919549,-150.647865,66.709988,1.84737889443314,1.8420036465879
"26","129-1-B-BENA",2018,0.1945,0.807163268534432,0.400038564128933,9.44942454053495,15,2003,8,"129-1","BENA",131,89,21,0,13,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,982.902287,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic - Hydric",2005,301.875214,348,5.919549,-150.647865,66.709988,1.76455013023017,1.76764658141955
"27","129-2-B-BENA",2018,0.2315,0.981656715661445,0.684838880084522,6.32041553631912,13,2005,8,"129-2","BENA",85,42,10,0,15,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1017.146639,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic - Hydric",2005,305.151764,352,5.708165,-150.647276,66.70977,1.35618024367539,1.35080499583015
"28","129-2-C-BENA",2018,0.2035,0.936987176767346,0.57838907780541,6.0891471931251,13,2005,8,"129-2","BENA",109,67,13,0,10,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1017.146639,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic - Hydric",2005,305.151764,352,5.708165,-150.647276,66.70977,1.31890332620697,1.31352807836173
"29","129-3-A-BENA",2018,0.401,1.76112955953008,1.43907589658321,10.9632237372139,66,1952,8,"129-3","BENA",51,35,12,0,6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1022.673056,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Sandy Loam","Mesic - Hydric",2005,301.546051,352,6.265718,-150.646771,66.710061,2.07126809688099,2.06815389625347
"30","129-3-B-BENA",2018,0.25175,1.34220166434758,0.686840669334303,8.53396503032751,14,2004,8,"129-3","BENA",105,47,16,0,13,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1022.673056,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub-Tussock Tundra","Sandy Loam","Mesic - Hydric",2005,301.546051,352,6.265718,-150.646771,66.710061,1.65954987407937,1.65867271152139
"31","129-4-C-BENA",2018,0.3315,0.964612377556563,0.807627436281859,10.276389116332,12,2006,8,"129-4","BENA",93,53,15,0,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,1057.255538,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Tall Shrub","Sandy Loam","Mesic - Hydric",2005,303.823029,358,6.979915,-150.646167,66.709845,1.83914373455862,1.82866188947691
