"","Shrub_ID_year","iem.summ.temp","iem.temp","iem.summ.rain","iem.wint.rain"
"75","102-1-B-BENA_1975",12.5666669209798,-8.00833342472712,164,110
"76","102-1-B-BENA_1976",12.6666666666667,-6.47499986489614,194,180
"77","102-1-B-BENA_1977",13.8999999364217,-6.04999999205271,181,129
"78","102-1-B-BENA_1978",12.4666668574015,-4.63333320617676,177,157
"79","102-1-B-BENA_1979",12.6666666666667,-6.02500021457672,198,197
"80","102-1-B-BENA_1980",11.7000001271566,-6.20833313465118,229,127
"81","102-1-B-BENA_1981",10.9333333969116,-4.36666677395503,294,171
"82","102-1-B-BENA_1982",12.1666666666667,-7.19166660308838,285,136
"83","102-1-B-BENA_1983",11.8666664759318,-6.43333345651627,178,82
"84","102-1-B-BENA_1984",11.6333335240682,-7.54999971389771,253,94
"85","102-1-B-BENA_1985",11.9333330790202,-6.53333344062169,206,187
"86","102-1-B-BENA_1986",12.0666666030884,-6.34999978542328,217,134
"87","102-1-B-BENA_1987",12.8666667938232,-5.39166653156281,195,131
"88","102-1-B-BENA_1988",13.2000001271566,-5.44999984900157,170,129
"89","102-1-B-BENA_1989",12.9333330790202,-6.55000013113022,226,197
"90","102-1-B-BENA_1990",13.7333335876465,-7.12500007947286,243,247
"91","102-1-B-BENA_1991",12.4333333969116,-5.85833313067754,116,174
"92","102-1-B-BENA_1992",12.9333330790202,-7.19999997317791,295,240
"93","102-1-B-BENA_1993",13.3333336512248,-4.43333326776822,192,255
"94","102-1-B-BENA_1994",12.8000001907349,-6.47499998410543,225,215
"95","102-1-B-BENA_1995",12.3333333333333,-5.84166660904884,195,68
"96","102-1-B-BENA_1996",11.8666667938232,-7.7249998152256,198,188
"97","102-1-B-BENA_1997",13.6333335240682,-5.40000013510386,168,137
"98","102-1-B-BENA_1998",12.6666666666667,-4.41666665176551,369,48
"99","102-1-B-BENA_1999",13.233333269755,-7.63333348433177,241,97
"100","102-1-B-BENA_2000",11.6000000635783,-5.61666681369146,199,169
"101","102-1-B-BENA_2001",12.3333336512248,-5.94166654348373,191,78
"102","102-1-B-BENA_2002",12.1000000635783,-4.40833334128062,232,80
"103","102-1-B-BENA_2003",12.733333269755,-4.99166671435038,212,127
"104","102-1-B-BENA_2004",15.1666666666667,-5.00000007947286,88,130
"105","102-1-B-BENA_2005",13.4000002543132,-5.00833324591319,227,115
"106","102-1-B-BENA_2006",12.2000001271566,-5.95833325386047,212,94
"107","102-1-B-BENA_2007",13.9666665395101,-5.18333339691162,284,69
"108","102-1-B-BENA_2008",12.1666666666667,-6.48333342870076,335,101
"109","102-1-B-BENA_2009",13.233333269755,-5.87499996026357,172,137
"110","102-1-B-BENA_2010",12.733333269755,-5.5,172,160
"111","102-1-B-BENA_2011",12.1333332061768,-6.00833360354106,315,181
"112","102-1-B-BENA_2012",12.3999999364217,-7.37499996026357,208,102
"113","102-1-B-BENA_2013",13.6000000635783,-5.96666655937831,132,298
"114","102-1-B-BENA_2014",11.8666667938232,-4.37499992052714,427,106
"115","102-1-B-BENA_2015",12.4333330790202,-4.65833338101705,213,211
"116","102-1-C-BENA_1901",11.5333334604899,-7.39166657129924,206,169
"117","102-1-C-BENA_1902",12.4000002543132,-7.93333329757055,206,169
"118","102-1-C-BENA_1903",11.9333333969116,-7.9333332379659,136,105
"119","102-1-C-BENA_1904",12.4666668574015,-7.974999944369,168,80
"120","102-1-C-BENA_1905",11.6000000635783,-5.7083334363997,308,140
"121","102-1-C-BENA_1906",11.6333332061768,-7.85000010331472,180,146
"122","102-1-C-BENA_1907",11.7000001271566,-7.400000055631,194,174
"123","102-1-C-BENA_1908",12.0333334604899,-6.87500008692344,88,102
"124","102-1-C-BENA_1909",11.4666665395101,-9.3749999354283,167,106
"125","102-1-C-BENA_1910",10.8333333333333,-8.54166676600774,155,115
"126","102-1-C-BENA_1911",11.9000002543132,-7.40833330154419,110,185
"127","102-1-C-BENA_1912",10.8666664759318,-5.23333346843719,241,125
"128","102-1-C-BENA_1913",11.8666664759318,-7.22500010331472,145,203
"129","102-1-C-BENA_1914",12.3666667938232,-5.72499982515971,156,171
"130","102-1-C-BENA_1915",12.8999996185303,-5.99999996026357,216,156
"131","102-1-C-BENA_1916",11.7999998728434,-7.49166683355967,212,289
"132","102-1-C-BENA_1917",11.3999999364217,-8.50833324591319,240,126
"133","102-1-C-BENA_1918",11.233333269755,-8.40833322207133,213,183
"134","102-1-C-BENA_1919",11.1000000635783,-7.2166666785876,227,158
"135","102-1-C-BENA_1920",10.8999999364217,-7.97500004371007,133,135
"136","102-1-C-BENA_1921",12.3333333333333,-7.11666668454806,132,232
"137","102-1-C-BENA_1922",10.2333335876465,-7.19999986886978,255,172
"138","102-1-C-BENA_1923",13.2000001271566,-6.13333316644033,134,124
"139","102-1-C-BENA_1924",10.6666666666667,-7.58333353201548,237,141
"140","102-1-C-BENA_1925",11.8333330154419,-7.25833336512248,142,205
"141","102-1-C-BENA_1926",12.7000001271566,-4.25000005960464,182,147
