"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"PropHare"	"PropMoose"	"PropPtarmagin"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"df"	"logLik"	"AICc"	"delta"	"weight"
"60"	0.0142227300002472	-0.0579765718575951	-0.0209072746235457	NA	-0.138048456239474	0.679112031209277	1.52403111606437	NA	NA	NA	9	-1702.30998190013	3422.72938629266	21.5907786554312	1.23092910809167e-06
"12"	0.131541419387687	-0.0580372386551507	-0.0205267485553081	NA	-0.137458245652288	NA	NA	NA	NA	NA	7	-1704.3399579526	3422.74791833386	21.6093106966341	1.21957597403495e-06
"122"	-0.0498051179358169	-0.0570022040011152	NA	NA	-0.135464840929004	0.818402659514406	1.57637874867396	0.719431931624679	NA	NA	9	-1702.38054855644	3422.87051960528	21.7319119680528	1.14706051984957e-06
"74"	0.0859897387166605	-0.0571051697517073	NA	NA	-0.13508061008226	NA	NA	0.569696161629342	NA	NA	7	-1704.61435112498	3423.29670467861	22.1580970413847	9.26918220984647e-07
"124"	-0.0441440441922589	-0.0578894061507736	-0.0212294616799324	NA	-0.137389338712258	0.815707833369068	1.59100201159689	0.732910832592586	NA	NA	10	-1701.69386403529	3423.52154802192	22.3829403846867	8.28356544517917e-07
"26"	0.107069619312902	-0.0571338693529579	NA	NA	-0.135758723651988	0.487169335358718	NA	NA	NA	NA	7	-1704.85818221912	3423.7843668669	22.6457592296751	7.26351638798306e-07
"76"	0.0921167787811365	-0.0579748418695065	-0.0208084776977572	NA	-0.13698105360779	NA	NA	0.584176805863921	NA	NA	8	-1703.95460598305	3423.99669677777	22.8580891405454	6.53190810843863e-07
"28"	0.114287169430578	-0.0579899158013829	-0.0204663382329023	NA	-0.137635665106503	0.480416481797489	NA	NA	NA	NA	8	-1704.21999716966	3424.52747915099	23.3888715137618	5.00935878808256e-07
"90"	0.0612308750359081	-0.0570430032868669	NA	NA	-0.13526060619644	0.597954101891347	NA	0.618924276060506	NA	NA	8	-1704.42966103829	3424.94680688824	23.8081992510142	4.06187240934701e-07
"92"	0.0675366142147869	-0.0579103834382178	-0.0207608836093415	NA	-0.137156749318265	0.594001565726267	NA	0.633149388987813	NA	NA	9	-1703.77314599697	3425.65571448633	24.517106849104	2.8496331104664e-07
"41"	0.0466515251475714	NA	NA	NA	-0.135172301033108	NA	1.45462524590246	NA	NA	NA	6	-1710.14316930499	3432.33730948376	31.1987018465288	1.00901826885122e-08
"105"	-0.00135797507603017	NA	NA	NA	-0.134502429296173	NA	1.50590722887842	0.662983426396755	NA	NA	7	-1709.63204547596	3433.33209338057	32.1934857433457	6.13598728392843e-09
"43"	0.0520399612412177	NA	-0.0175675426188364	NA	-0.136762757381086	NA	1.46724228468287	NA	NA	NA	7	-1709.67585046789	3433.41970336444	32.2810957272118	5.87300248555918e-09
"57"	0.0176854353761298	NA	NA	NA	-0.135449553058874	0.70714385282445	1.51416035317107	NA	NA	NA	7	-1709.8791431008	3433.82628863026	32.6876809930341	4.79260146265764e-09
"9"	0.135553411012977	NA	NA	NA	-0.134861614430012	NA	NA	NA	NA	NA	5	-1711.90301031712	3433.84240632254	32.7037986853147	4.7541338353927e-09
"107"	0.00338205058611874	NA	-0.0178784735754719	NA	-0.136113508007417	NA	1.5186599956638	0.67461349172192	NA	NA	8	-1709.14812429109	3434.38373339384	33.2451257566063	3.62680097296631e-09
"121"	-0.0409385301588963	NA	NA	NA	-0.134753309381864	0.843854274935542	1.5812718966119	0.734286585713796	NA	NA	8	-1709.25932401775	3434.60613284716	33.4675252099296	3.24511652434162e-09
"59"	0.0232460449684956	NA	-0.0175003006534114	NA	-0.137032477395183	0.703418088829016	1.52635434016564	NA	NA	NA	8	-1709.41557987521	3434.91864456209	33.7800369248562	2.77567899717826e-09
"11"	0.141506056377584	NA	-0.0171138486302709	NA	-0.136423600872014	NA	NA	NA	NA	NA	6	-1711.45967154543	3434.97031396466	33.8317063274271	2.70488852208473e-09
"73"	0.0960282305654266	NA	NA	NA	-0.134353715143315	NA	NA	0.583672111829359	NA	NA	6	-1711.51737619672	3435.08572326722	33.9471156299905	2.5532218911518e-09
"25"	0.117267482221383	NA	NA	NA	-0.13505674993266	0.509222418008593	NA	NA	NA	NA	6	-1711.76787777784	3435.58672642947	34.4481187922383	1.98745408868132e-09
"123"	-0.0360716156653895	NA	-0.0178327128252379	NA	-0.136360738318443	0.842276460367899	1.59362397521691	0.745737542275006	NA	NA	9	-1708.77808510857	3435.66559270955	34.5269850723203	1.91060763926328e-09
"75"	0.101292335966443	NA	-0.0174036339454363	NA	-0.135934049498442	NA	NA	0.595850093790437	NA	NA	7	-1711.0590047056	3436.18601183986	35.047404202634	1.47286835586968e-09
"89"	0.0702437551584087	NA	NA	NA	-0.134543513848564	0.622979617784536	NA	0.63496753818018	NA	NA	7	-1711.31723420829	3436.70247084524	35.5638632080131	1.13766994099111e-09
"27"	0.123401613677346	NA	-0.0170550907453697	NA	-0.136611991678772	0.504201327023458	NA	NA	NA	NA	7	-1711.32771545627	3436.7234333412	35.5848257039665	1.12580801272212e-09
